X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-7851619.14888796,-3958956.20456107,610,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACIÓN,131220495,GRECIA,131220572,LA UNION, ,GRECIA - LA UNION,GRECIA @ LA UNION,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7851478.03431475,-3975112.67306647,611,1,PUENTE ALTO,2016,1,13201,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,132011048,EYZAGUIRRE,132010313,CAMILO HENRIQUEZ, ,CAMILO HENRIQUEZ - EYZAGUIRRE,EYZAGUIRRE @ CAMILO HENRIQUEZ,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7851345.43217095,-3957614.12697694,612,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131220361,DIAG LAS TORRES,131220680,LAS VERTIENTES, ,DIAG LAS TORRES - LAS VERTIENTES,DIAG LAS TORRES @ LAS VERTIENTES,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7851284.66634557,-3958406.30715261,613,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131220711,LOS BAQUEANOS,131221235,RIO LAUCA, ,LOS BAQUEANOS - RIO LAUCA,LOS BAQUEANOS @ RIO LAUCA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7851239.58207519,-3945715.4938698,614,1,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131140303,CURAMAVIDA,131140645,LAS CONDES, ,CURAMAVIDA - LAS CONDES,CURAMAVIDA @ LAS CONDES,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7851001.15386251,-3958464.95219832,615,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131220711,LOS BAQUEANOS,131220361,DIAG LAS TORRES, ,DIAG LAS TORRES - LOS BAQUEANOS,LOS BAQUEANOS @ DIAG LAS TORRES,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7850023.0278821,-3942110.06166495,616,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131150376,EL RODEO, , ,12750,- EL RODEO,12750 EL RODEO,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7850023.00936136,-3942109.32362693,617,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131150376,EL RODEO, , ,12850,- EL RODEO,12850 EL RODEO,CONCRETO,0,0,1,0,BICICLETA,PARTICULAR
-7849931.01197326,-3944601.74421014,618,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131150254,COST MONS ESCRIVA DE BALAGUER, , ,8837,- COST MONS ESCRIVA DE BALAGUER,8837 COST MONS ESCRIVA DE BALAGUER,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7849776.11386984,-3947781.54125122,619,1,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131140160,CAMINO LAS FLORES, , ,11968,- CAMINO LAS FLORES,11968 CAMINO LAS FLORES,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
