X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7863720.81704458,-3954825.70915706,831,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010387,MANUEL ANTONIO TOCORNAL,131010398,MARIN,0,0,0,0,2,BICICLETA,0,0,0,2,3
-7863706.45683027,-3965172.29972643,832,2018,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131310342,STA ANA,131310328,RIVADAVIA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863689.42494818,-3953486.71329773,833,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010416,MERCED, , ,294,0,0,0,0,BICICLETA,0,0,0,0,1
-7863686.08536345,-3960270.53621162,834,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290600,STA ROSA,131290012,ALC PEDRO ALARCON,0,0,1,0,1,BICICLETA,0,1,0,1,2
-7863685.528766,-3951956.46952039,835,2018,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131270248,EL SALTO,131270733,RAPA NUI,0,0,0,0,2,BICICLETA,0,0,0,2,2
-7863674.95341437,-3953891.85092559,836,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010314,JOSE VICTORINO LASTARRIA,131010342,LIBER BERNARDO O`HIGGINS,0,0,0,0,0,BICICLETA,0,0,0,0,1
-7863674.95341437,-3953425.08346233,837,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131010425,MONJITAS,131010303,ISMAEL VALDES VERGARA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7863671.99231592,-3948209.77334762,838,2018,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270044,AMERICA,131270668,PEDRO DONOSO VERGARA,0,0,0,0,0,BICICLETA,0,0,0,0,1
-7863637.66138496,-3965897.1404839,839,2018,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310076,CARLOS DAVILA, , ,7910,0,0,0,1,BICICLETA,0,0,0,1,1
-7863629.08978417,-3955871.05272592,840,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131010106,CARMEN,131010143,COQUIMBO,0,0,0,0,2,BICICLETA,0,0,0,2,2
-7863604.4881767,-3944316.81226062,841,2018,1,13107,HUECHURABA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131070156,LA PINCOYA,131070327,PEDRO AGUIRRE CERDA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863575.65642858,-3961565.33101022,842,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290256,ING BUDGE,131290600,STA ROSA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863534.91349496,-3949798.97197052,843,2018,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131270613,NICOLAS DE GARNICA,131270319,GRAL ROCA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863532.35314667,-3960318.85481417,844,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131290075,CABILDO,131290439,PEDRO ALARCON,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863522.60155927,-3966159.21874071,845,2018,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131310050,ARGENTINA,131310180,LAS ANTILLAS,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863512.23771468,-3950854.70452097,846,2018,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131270677,PERU,131270862,UNION,0,0,1,0,1,BICICLETA,0,1,0,1,2
-7863484.70840461,-3953432.28693265,847,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010416,MERCED,131010220,ESTADOS UNIDOS,0,0,0,0,0,BICICLETA,0,0,0,0,1
-7863468.67839793,-3956609.58785329,848,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131010106,CARMEN,131010618,STA ELVIRA,0,0,0,0,0,BICICLETA,0,0,0,0,1
-7863466.89728609,-3950314.27020396,849,2018,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270876,VALDIVIESO,131270248,EL SALTO,0,0,0,0,1,BICICLETA,0,0,0,0,1
-7863439.73533033,-3962800.86068111,850,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290600,STA ROSA,131290160,DEPARTAMENTAL,0,0,0,1,0,BICICLETA,0,0,1,0,2
-7863434.45878646,-3968977.82077861,851,2018,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131310317,RIO AMAZONAS,131310124,ESPERANZA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7863402.33198143,-3972413.00242668,852,2018,1,13112,LA PINTANA,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131120016,ANDRES BELLO,131120302,JOSE MANUEL BALMACEDA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7863385.76764118,-3918732.65055873,853,2018,1,13301,COLINA,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133010114,CAMINO TERMAS DE COLINA, , ,2000,0,0,0,0,BICICLETA,0,0,0,0,1
-7863382.85107053,-3961268.98373033,854,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290438,PDTE SALVADOR ALLENDE, , ,540,0,1,0,0,BICICLETA,0,1,0,0,1
-7863338.73515633,-3969527.04982319,855,2018,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310264,PEDRO AGUIRRE CERDA,131310368,VENANCIA LEIVA,0,0,1,0,0,BICICLETA,0,1,0,0,1
